tool_name,arsenal_category,source_markdown_path,source_markdown_url,github_repo_url,project_url,black_hat_session_urls,twitter_handles,youtube_urls,lead_developers
MobSF,mobile_hacking,mobile_hacking/mobsf.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/mobile_hacking/mobsf.md,https://github.com/MobSF/Mobile-Security-Framework-MobSF,https://ajinabraham.com,https://www.toolswatch.org/2015/03/black-hat-asia-2015-arsenal-speaker-list,@ajinabraham,,Ajin Abraham - OpenSecurity https://github.com/ajinabraham
Needle,mobile_hacking,mobile_hacking/needle.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/mobile_hacking/needle.md,https://github.com/mwrlabs/needle,https://labs.mwrinfosecurity.com,https://www.toolswatch.org/2016/06/the-black-hat-arsenal-usa-2016-remarkable-line-up | https://www.toolswatch.org/2016/09/the-black-hat-arsenal-europe-2016-line-up | http://www.toolswatch.org/2017/06/the-black-hat-arsenal-usa-2017-phenomenal-line-up-announced,@mwrneedle,,Marco Lancini - https://github.com/marco-lancini
objection,mobile_hacking,mobile_hacking/objection.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/mobile_hacking/objection.md,https://github.com/sensepost/objection,https://sensepost.com,http://www.toolswatch.org/2017/09/black-hat-arsenal-europe-2017-lineup,@leonjza,,Leon Jacobs - https://github.com/leonjza
Crowbar,network_attacks,network_attacks/crowbar.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_attacks/crowbar.md,https://github.com/galkan/crowbar,,https://www.blackhat.com/us-14/arsenal.html#Alkan | http://www.blackhat.com/us-15/arsenal.html#heybe-pentest-automation-toolkit,@gokhan_alkn,,Gokhan Alkan - https://github.com/galkan
DELTA,network_attacks,network_attacks/delta.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_attacks/delta.md,https://github.com/OpenNetworkingFoundation/DELTA,http://nss.kaist.ac.kr,https://www.blackhat.com/us-17/arsenal/schedule/#delta-sdn-security-evaluation-framework-7466,,,Seungsoo Lee [seungsoo-lee] - https://github.com/seungsoo-lee ; Jinwoo Kim [jinwoookim] - https://github.com/jinwoookim
DET,network_attacks,network_attacks/det.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_attacks/det.md,https://github.com/PaulSec/DET,,https://www.blackhat.com/us-16/arsenal.html#det,@PaulWebSec,,Paul Amar (@PaulWebSec) - https://github.com/PaulSec
EAPHammer,network_attacks,network_attacks/eaphammer.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_attacks/eaphammer.md,https://github.com/s0lst1c3/eaphammer,https://blog.gdssecurity.com/labs/author/gryan,https://www.blackhat.com/us-17/arsenal.html#eaphammer,@s0lst1c3,,Gabriel Ryan - s0lst1c3 https://github.com/s0lst1c3
Egression,network_attacks,network_attacks/egression.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_attacks/egression.md,https://github.com/danielmiessler/egression,https://danielmiessler.com,https://www.blackhat.com/us-17/arsenal/schedule/index.html,@danielmiessler,,Daniel Miessler [@danielmiessler] - https://github.com/danielmiessler
Flashlight,network_attacks,network_attacks/flashlight.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_attacks/flashlight.md,https://github.com/galkan/flashlight,,https://www.blackhat.com/us-14/arsenal.html#Alkan | http://www.blackhat.com/us-15/arsenal.html#heybe-pentest-automation-toolkit,@gokhan_alkn,,Gokhan Alkan - https://github.com/galkan
gr-lora,network_attacks,network_attacks/gr-lora.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_attacks/gr-lora.md,https://github.com/BastilleResearch/gr-lora,https://bastille.net,https://www.blackhat.com/us-17/arsenal/schedule/index.html#gr-lora-an-open-source-sdr-implementation-of-the-lora-phy-8045,@embeddedsec,,Matt Knight - https://github.com/matt-knight
Yasuo,network_attacks,network_attacks/yasuo.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_attacks/yasuo.md,https://github.com/0xsauby/yasuo,,https://www.blackhat.com/eu-16/arsenal.html | https://www.blackhat.com/us-17/arsenal/schedule/index.html#yasuo-7909,@0xsauby,,Saurabh Harit [0xsauby] - https://github.com/0xsauby
OSfooler,network_defense,network_defense/OSfooler.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_defense/OSfooler.md,https://github.com/segofensiva/OSfooler-ng,https://seguridadofensiva.com,https://www.toolswatch.org/2013/06/announcement-blackhat-arsenal-usa-2013-selected-tools,@segofensiva,,Jaime Sánchez - aka @segofensiva -
CrowdSec,network_defense,network_defense/crowdsec.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_defense/crowdsec.md,https://github.com/crowdsecurity/crowdsec,https://www.crowdsec.net,https://www.blackhat.com/asia-22/arsenal/schedule/index.html#crowdsec-the-open-source-and-participative-ips-25857 | https://www.blackhat.com/us-22/arsenal/schedule/index.html#crowdsec---the-network-effect-of-cybersecurity-26573,@Crowd_Security,,Buixor https://github.com/buixor ; AlteredCoder https://github.com/AlteredCoder ; Sabban https://github.com/sabban ; He2ss https://github.com/he2ss ; Blotus github.com/blotus
Cloud Security Suite (cs-suite),network_defense,network_defense/cs-suite.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_defense/cs-suite.md,,,,,,
Protecting your Crypto Asset against Malicious JS Phishing,network_defense,network_defense/js_api.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_defense/js_api.md,https://github.com/akamai/js_api,,https://www.blackhat.com/us-22/arsenal/schedule/#protecting-your-crypto-asset-against-malicious-js-phishing-27713,,,*Code**: [Jordan Garzon] ; *Aknoledgment**:[Asaf Nadler] ; from Akamai Technologies ; [Jordan Garzon]: https://twitter.com/JordGarzon ; [Asaf Nadler]: https://twitter.com/AsafNadler
LUDA: Large URLs Dataset Analyzer for security,network_defense,network_defense/luda.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_defense/luda.md,https://github.com/akamai/luda,,https://www.blackhat.com/us-21/arsenal/schedule/index.html#luda--large-urls-dataset-analyzer-for-security-23851,,,*Code**: [Jordan Garzon] ; *Algorithm**: [Jordan Garzon] and [Asaf Nadler] ; from Akamai Technologies ; [Jordan Garzon]: https://twitter.com/JordGarzon ; [Asaf Nadler]: https://twitter.com/AsafNadler
LuLu,network_defense,network_defense/lulu.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_defense/lulu.md,https://github.com/objective-see/LuLu,https://objective-see.com,http://www.toolswatch.org/2017/06/the-black-hat-arsenal-usa-2017-phenomenal-line-up-announced,@patrickwardle,,Patrick Wardle - Objective-See
Mimicry,network_defense,network_defense/mimicry.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_defense/mimicry.md,https://github.com/chaitin/mimicry,,https://www.blackhat.com/eu-22/arsenal/schedule/index.html#mimicry-an-active-deception-tool-29517,@unsignedjuice,,ChaoxinWan https://github.com/mangosteen
SITCH,network_defense,network_defense/sitch.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_defense/sitch.md,https://github.com/sitch-io,https://sitch.io,http://www.toolswatch.org/2017/06/the-black-hat-arsenal-usa-2017-phenomenal-line-up-announced,@sitch_io,,Ash Wilson - https://github.com/ashmastaflash
Sweet Security,network_defense,network_defense/sweetsecurity.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_defense/sweetsecurity.md,https://github.com/travisfsmith/sweetsecurity,,https://www.toolswatch.org/2017/06/the-black-hat-arsenal-usa-2017-phenomenal-line-up-announced,@mrtrav,,Travis Smith
WiPi-Hunter,network_defense,network_defense/wipihunter.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_defense/wipihunter.md,,,,,,
Zenected Threat Defense VPN,network_defense,network_defense/zenected.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/network_defense/zenected.md,https://github.com/perunworks/zenected,https://www.perunworks.com,https://www.toolswatch.org/2017/02/the-black-hat-arsenal-asia-2017-great-line-up,@perunhimself,,Tomasz Jakubowski @ Perun Works https://github.com/perunworks
DataSploit - OSINT Framework,osint,osint/datasploit.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/osint/datasploit.md,https://github.com/datasploit/datasploit,https://datasploit.github.io/datasploit,,@datasploit,,Shubham Mittal - https://github.com/upgoingstar ; Sudhanshu Chauhan - https://github.com/sudhanshu_c ; Kunal Aggarwal - https://github.com/aggkunal
dorkify,osint,osint/dorkify.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/osint/dorkify.md,https://github.com/hhhrrrttt222111/Dorkify,,,,,hhhrrrttt222111 - https://github.com/hhhrrrttt222111
trape,osint,osint/trape.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/osint/trape.md,https://github.com/jofpin/trape,,https://www.toolswatch.org/2018/01/black-hat-arsenal-asia-2018-great-lineup,@jofpin,,
SPF - SpeedPhishing Framework,phishing,phishing/spf.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/phishing/spf.md,https://github.com/tatanus/SPF,,https://www.toolswatch.org/2015/06/black-hat-arsenal-usa-2015-speakers-lineup,@tatanus,,Adam Compton - https://github.com/tatanus
SquarePhish,phishing,phishing/squarephish.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/phishing/squarephish.md,https://github.com/secureworks/squarephish,,https://www.blackhat.com/eu-22/arsenal/schedule | https://www.blackhat.com/us-22/arsenal/schedule,@nevadaromsdahl | @0xZDH,,Nevada Romsdahl - https://github.com/nromsdahl ; Kam Talebzadeh - https://github.com/0xZDH
ADOKit,red_team,red_team/adokit.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/red_team/adokit.md,https://github.com/xforcered/ADOKit,,https://www.blackhat.com/us-24/arsenal/schedule/index.html#adokit-azure-devops-services-attack-toolkit-38148,@h4wkst3r,,Brett Hawkins - h4wkst3r https://github.com/h4wkst3r
Legion,red_team,red_team/legion.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/red_team/legion.md,https://github.com/MooseDojo/Legion,,http://www.toolswatch.org/2017/06/the-black-hat-arsenal-usa-2017-phenomenal-line-up-announced,@tatanus,,Adam Compton - https://github.com/tatanus https://github.com/MooseDojo ; Bill Harshbarger - https://github.com/bharshbarger https://github.com/MooseDojo
Merlin,red_team,red_team/merlin.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/red_team/merlin.md,https://github.com/Ne0nd0g/merlin,https://medium.com/@Ne0nd0g,https://www.toolswatch.org/2018/05/black-hat-arsenal-usa-2018-the-w0w-lineup,@Ne0nd0g,,Russel Van Tuyl (@Ne0nd0g)
SCMKit,red_team,red_team/scmkit.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/red_team/scmkit.md,https://github.com/xforcered/SCMKit,,https://www.blackhat.com/us-22/arsenal/schedule/index.html#scmkit-source-code-management-attack-toolkit-26592,@h4wkst3r,,Brett Hawkins - h4wkst3r https://github.com/h4wkst3r
ShinoBOT Family,red_team,red_team/shinobot.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/red_team/shinobot.md,https://github.com/Sh1n0g1/ShinoBOT,,https://www.toolswatch.org/2013/06/announcement-blackhat-arsenal-usa-2013-selected-tools | https://www.toolswatch.org/2014/06/black-hat-usa-2014-arsenal-tools-speaker-list | https://www.toolswatch.org/2015/03/black-hat-asia-2015-arsenal-speaker-list | https://www.toolswatch.org/2015/06/black-hat-arsenal-usa-2015-speakers-lineup | https://www.toolswatch.org/2016/06/the-black-hat-arsenal-usa-2016-remarkable-line-up | https://www.toolswatch.org/2016/03/black-hat-arsenal-asia-2016-speakers-line-up,@Sh1n0g1,,Shota Shinogi (@Sh1n0g1)
WarBerryPi,red_team,red_team/warberrypi.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/red_team/warberrypi.md,https://github.com/secgroundzero/warberry,,https://www.toolswatch.org/2016/06/the-black-hat-arsenal-usa-2016-remarkable-line-up | https://www.toolswatch.org/2016/09/the-black-hat-arsenal-europe-2016-line-up,@sec_groundzero,,Yiannis Ioannides - https://github.com/secgroundzero/warberry
FileInsight-plugins,reverse_engineering,reverse_engineering/fileinsight-plugins.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/reverse_engineering/fileinsight-plugins.md,https://github.com/nmantani/FileInsight-plugins,,https://www.blackhat.com/us-21/arsenal/schedule/#fileinsight-plugins-decoding-toolbox-of-mcafee-fileinsight-hex-editor-for-malware-analysis-23386,@nmantani,,Nobutaka Mantani - https://github.com/nmantani
Ox4Shell,reverse_engineering,reverse_engineering/ox4shell.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/reverse_engineering/ox4shell.md,https://github.com/ox-eye/Ox4Shell,https://oxeye.io,https://www.blackhat.com/us-22/arsenal/schedule/index.html#oxshell---deobfuscate-logshell-payloads-with-ease-2799,,,#### ⭐ Daniel Abeles ; Github ; Twitter ; LinkedIn ; #### ⭐ Ron Vider ; Github ; Twitter ; LinkedIn
Packet Sender,reverse_engineering,reverse_engineering/packet_sender.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/reverse_engineering/packet_sender.md,https://github.com/dannagle/PacketSender,,https://www.blackhat.com/us-21/arsenal/schedule/index.html#packet-sender-24082,@NagleCode,,Dan Nagle - https://github.com/dannagle
apt2,vulnerability_assessment,vulnerability_assessment/apt2.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/vulnerability_assessment/apt2.md,https://github.com/tatanus/apt2,,https://www.toolswatch.org/2016/06/the-black-hat-arsenal-usa-2016-remarkable-line-up | https://www.toolswatch.org/2016/09/the-black-hat-arsenal-europe-2016-line-up | https://www.toolswatch.org/2018/01/black-hat-arsenal-asia-2018-great-lineup,@tatanus | @capndan,,
Archery,vulnerability_assessment,vulnerability_assessment/archery.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/vulnerability_assessment/archery.md,https://github.com/archerysec/archerysec,https://archerysec.github.io/archerysec,http://www.toolswatch.org/2018/05/black-hat-arsenal-usa-2018-the-w0w-lineup | https://www.blackhat.com/asia-18/arsenal/schedule/#archery---open-source-vulnerability-assessment-and-management-9837,@archerysec,,Anand Tiwari -  https://github.com/anandtiwarics
Blackdagger,vulnerability_assessment,vulnerability_assessment/blackdagger.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/vulnerability_assessment/blackdagger.md,https://github.com/ErdemOzgen/blackdagger,,https://www.blackhat.com/us-24/arsenal/schedule/index.html#blackdagger-39274,,,Mahmut Erdem Özgen - https://github.com/ErdemOzgen ; Ata Seren - https://github.com/ataseren ; Regaip Kurt - https://github.com/RegaipKURT ; ---
Faraday,vulnerability_assessment,vulnerability_assessment/faraday.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/vulnerability_assessment/faraday.md,https://github.com/infobyte/faraday,https://www.faradaysec.com,https://www.toolswatch.org/2017/02/the-black-hat-arsenal-asia-2017-great-line-up | https://www.toolswatch.org/2016/06/the-black-hat-arsenal-usa-2016-remarkable-line-up | https://www.toolswatch.org/2016/09/the-black-hat-arsenal-europe-2016-line-up | https://www.toolswatch.org/2016/03/black-hat-arsenal-asia-2016-speakers-line-up | https://www.toolswatch.org/2015/06/black-hat-arsenal-usa-2015-speakers-lineup | https://www.toolswatch.org/2015/10/black-hat-arsenal-europe-2015-line-up | https://www.toolswatch.org/blackhat-arsenal-us-2011-archive,@faradaysec,https://www.youtube.com/channel/UCnHpyTi7zRQ9A4U4Ldc65YQ,Francisco Amato - f-amato https://github.com/f-amato ; Federico Kirschbaum - fedek https://github.com/fedek ; Micaela Ranea - Micabot https://github.com/micabot ; Ezequiel - Ezequieltbh https://github.com/Ezequieltbh ; Leonardo Lazzaro - llazzaro https://github.com/llazzaro ; Matías Lang - sh4r3m4n https://github.com/sh4r3m4n ; Zoe Marino - WinnaZ https://github.com/WinnaZ
Intrigue Core - Asset Discovery,vulnerability_assessment,vulnerability_assessment/intrigue.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/vulnerability_assessment/intrigue.md,https://github.com/intrigueio/intrigue-core,https://intrigue.io,,@intrigueio,,Jonathan Cran - https://github.com/jcran
MI-X,vulnerability_assessment,vulnerability_assessment/mi-x.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/vulnerability_assessment/mi-x.md,https://github.com/Rezilion/mi-x,https://www.rezilion.com/blog/rezilion-releases-mi-x-a-new-open-source-vulnerability-validation-tool,,,https://www.youtube.com/watch?v=2FsnsJ0mr68,Yotam Perkal ; Ofri Ouzan
Remote Method Guesser,vulnerability_assessment,vulnerability_assessment/remote_method_guesser.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/vulnerability_assessment/remote_method_guesser.md,https://github.com/qtc-de/remote-method-guesser,,https://www.blackhat.com/us-21/arsenal/schedule/#remote-method-guesser-a-java-rmi-vulnerability-scanner-24092,@qtc_de,https://youtu.be/t_aw1mDNhzI,Tobias Neitzel
TROMMEL,vulnerability_assessment,vulnerability_assessment/trommel.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/vulnerability_assessment/trommel.md,https://github.com/CERTCC/trommel,https://www.sei.cmu.edu,https://www.blackhat.com/us-18/arsenal/schedule/index.html#trommel---arsenal-theater-demo-10456,@cool_breeze26,,Kyle O'Meara - SEI CERT/CC - https://github.com/CERTCC & https://github.com/komeara1
Jack,webapp_security,webapp_security/jack.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/webapp_security/jack.md,https://github.com/sensepost/jack,https://sensepost.com,https://www.toolswatch.org/2015/10/black-hat-arsenal-europe-2015-line-up,@brompwnie,,Chris Le Roy - SensePost https://github.com/sensepost
OWASP JoomScan,webapp_security,webapp_security/joomscan.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/webapp_security/joomscan.md,https://github.com/rezasp/joomscan,https://www.owasp.org/index.php/Category:OWASP_Joomla_Vulnerability_Scanner_Project,http://www.toolswatch.org/2018/05/black-hat-arsenal-usa-2018-the-w0w-lineup | http://www.toolswatch.org/2018/01/black-hat-arsenal-asia-2018-great-lineup,@OWASP_JoomScan,,Mohammad Reza Espargham -  https://twitter.com/rezesp ; Ali Razmjoo -  https://twitter.com/Ali_Razmjo0
OWASP Offensive Web Testing Framework (OWTF),webapp_security,webapp_security/owtf.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/webapp_security/owtf.md,https://github.com/owtf/owtf,http://owtf.github.io,http://www.toolswatch.org/2017/06/the-black-hat-arsenal-usa-2017-phenomenal-line-up-announced,@owtfp,https://www.youtube.com/user/owtfproject,Abraham Aranguren (https://twitter.com/7a_) ; Bharadwaj Machiraju (https://twitter.com/tunnelshade_) ; Viyat Bhalodia (https://twitter.com/viyat)
PyMultitor,webapp_security,webapp_security/pymultitor.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/webapp_security/pymultitor.md,https://github.com/realgam3/pymultitor,http://realgame.co.il,https://www.toolswatch.org/2017/02/the-black-hat-arsenal-asia-2017-great-line-up | https://www.toolswatch.org/2017/06/the-black-hat-arsenal-usa-2017-phenomenal-line-up-announced | https://www.toolswatch.org/2017/09/black-hat-arsenal-europe-2017-lineup,@realgam3,,Tomer Zait (RealGam3) - https://github.com/realgam3
ThreatPlaybook,webapp_security,webapp_security/threatplaybook.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/webapp_security/threatplaybook.md,https://github.com/we45/ThreatPlaybook,https://we45.gitbook.io/threatplaybook,https://www.blackhat.com/us-18/arsenal/schedule/index.html#threatplaybook-11697,@we45,,Abhay Bhargav (https://www.twitter.com/abhaybhargav) ; Nithin Jois (https://twitter.com/BondiJois) ; Sharath Kumar Ramadas (https://twitter.com/sharathkramadas) ; Umar Farook (https://github.com/Umar-Farook-we45)
wssat,webapp_security,webapp_security/wssat.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/webapp_security/wssat.md,https://github.com/YalcinYolalan/WSSAT,http://yalcinyolalan.github.io/WSSAT,https://www.blackhat.com/us-16/arsenal.html#web-service-security-assessment-tool-wssat | https://www.blackhat.com/eu-16/arsenal.html#wssat-web-service-security-assessment-tool,,,Mehmet Yalçın YOLALAN (https://www.linkedin.com/in/yalcinyolalan/) ; Salih TALAY (https://www.linkedin.com/in/salih-talay-49025238/)
ZAP,webapp_security,webapp_security/zap.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/webapp_security/zap.md,https://github.com/zaproxy/zaproxy,https://zaproxy.blogspot.co.uk,https://www.toolswatch.org/2016/09/the-black-hat-arsenal-europe-2016-line-up | https://www.toolswatch.org/2014/09/lineup-for-the-blackhat-arsenal-europe-2014 | https://www.toolswatch.org/2014/06/black-hat-usa-2014-arsenal-tools-speaker-list,@zaproxy,,Mozilla \ Simon Bennetts -  https://github.com/psiinon
